shopid,itemid,status,images
5182389,18265571,0,"907bb9abc902d47e78cdf41e8f5759ec,5051ca757b20e0cfe84bcefc82030abb,a5276bb33cfdf0bac0f311f7d972d629,984970245433ad7a1134c6abaadd70fb,034107f3f6f87ced35b022682002bbd1,87d35b7c3a34b018836c91dac7c21e61,036ceb501b9c828109219fbd821995e4,109a7074cedbb49f66df6d194a745d68"
5182389,18272307,1,"711c61c4311a0a96b261e920418b780b,7c08de5baba0259cc8cc4650ed30727f,88e6e8ef4cc8b2ae06b1fd93c6fc05d6,69c18a69e81037e18d9fd9334fccd785,6f116793ecd234b3b15b85a8d3399a12,07f960645e2284c0960ef9e72fae7c23,ba1582adb5d7718327856b1240a33e66,ffe45fbccf9c2d07964f6bbe6aceb8ee,994ccfb31b1a984615ac57565371e8b6"
5182389,18272391,1,"69528cbafc29840497f186cd5f777bd8,c59cab18f131dd8d9e40f93edc561ade,329e815acd5f01f38e6156448fde21f6,3a672db24ad69f6ed1033d591158def0,cccb8227ef3eca595eef76aa0eb9b14c,f7cfa732995a837e321d5eeb9036b093,531dddd2041705322250de95128ee0bb,78da5eaa292aa37212ad4c07cf22cbbe,021c89ed64fa1add4549e1eaa051dca7"
5182389,18272505,1,"453731d306966c6245c7068d36fc6d51,377df16d5091111a17c8851639e38ef0,b010f07d5d3946cc972617b7e318f366,0ffa57183caa9ea9b2c4f353724fc1f1,71974158bb137e6d9818e52e149b9b40,bcf1cb1194b2776224a0a9b8ff6edd32,860769d7c53511d86cb656bb87aaf50d,4e707fe6e23141ed214b938b08f5da0a"
5182389,26212362,1,"f50462e67d78255ae26ed7d0a7f54e77,44e6b201b6f09a69041f12b3afbc90c9,ee4f077cadae571b83dadb6fabe57f8a,f8f6927262480a16d6a49ed65f7bffd6,6e391073869e67582348c18a8abd99e6,14f94cb33ddce39868f5f5a58d04a306,565e0687a4d18c22977a2e6241e38bba,a28201f3301098e1fd8eb2e4664485d9,ed2c72d9744c3c822ceb3c8f43a09136"
5182389,23782269,1,"aba01f1fb2aaad5caee7e884d1fd9224,ed445867c145cd53134927b7a16963db,92c6f696bf0b93f6af27a46fbd75113a,09347b348522c2d7411d7fb6da71e4c6,7f3b9fcf44df43bf7b527237da0a7387"
5182389,21284969,1,"de10258b7e0a65575b68d6145947af74,e37601c52dbeea37083fcd5d380289d1,8eb0eb0ff248cf929308bc41944c7c2b,d673e75fe303195fb25b0a05b1a6ea59,d1a6b6aa004583c4d0d093fd33c09098"
5182389,41295863,1,"0b08359e9a2710b1c4ac483503f9ab54,4d5799e7b04a8fd02a871d1d4f038099,95cb2ecdebeea03807510d0305e32243,f49f2767c76870a723157610782a6ef2,84faa23b801f4d2a43de0023ac068e21,6df692f023e9a0609386b50c1fc160d8,c41f6de1594ed4407687180be6971ff8,6203a54c98f8b968aa99198cd5edd33f,2c461a7724cb20b263b92649d1949555"
5182389,22734026,1,"63d1e972d4aea9dcee622fed5b6d89a2,ac2ee6a3a9f3b290ac291705bf05b51e,813cff2402e80289913b08bee56c3d34,79fa2fbce09f1b90e818bcd311abb7c6,f227d22ce2c52e3f2711730d6f32e2e4,f39c1acd4f2a5eedcdbf20f31881f184,b7bf0115a02ce590f95618b132f06907,d99f084d000e63f4cf16be76091c8f4c,cc40b0069f80f81f35c09f85b9a6a5bb"
5182389,26212504,1,"84b3c6a371980d1144ec6f4f364d1a72,72b3c6abce0205ea82ad60b0252fc8d6,55606ea407d96205d146f5b77af83c2c,a49e3985f1aeb0b580c4b1c4fe2e9da8,1e2dcdd0c02f65a5e6e144190e7653e6,5aafa4ebed750fd66d36776c83befc91,9dadc792ff0b96c067d37891f893a322,49f26b3d42a3d8a79682f8f3cac2b659,59069b456cccd3496bef46b9b5ce729a"
5182389,23782127,1,"74bdcdc9e4200e112f70ff397bba0b1e,d2ed3c15bcb8b72e05f5e8949be9937e,a8ba3b8e27bcbafa70e54414eb1f5285,619edf6e0f225e37b3481191cc0c9a24,f213139d61cff54cabe8e37c21191bc2,f0aee4033c8fb422497e2b1ec7203228,6b5e84af35a9eaa6582bc6884dc583a4,d7c3290122ac98f4df2960bc91b87df2"
5182389,18272383,4,"a3450d0122312e460389331ab2506101,dc1a066881fe25da800455346be02263,f3ba88d4f8a8603c7a0b85f47d85137e,004a2d74916bc51a8a842db4a70b6d27,dd2c95d6bf1b652ae2c218b9420d07f5,a296f0ff1e5c449c209d3767b16c7cea,3624f6810aecc5f2eb2efb7bb15d68fc,05e43bf12821841be2fa3f7c54890224,d32704c48261bfeab3d225075be5a24b"
5182389,18272508,1,"dc3dab727dee32a755f97570912810fa,28f97ce274425ea10b4134c7d8fa6d14,330d731913ade10d6211c7b29461f1dc,57b530ff9e5838cf5f01b80ba173a0a0,fade335d595981086014fba7520b4fed,5715a6ee105e5e832d37cf8d63d7e5f9,5f78cd6a7a9dba7ab5da759f8416fc17,96bc5f80e45c6d7bf55fef07949c60d1"
5182389,22733075,1,"906450d3ceb530c75c62955d9e1133c0,7ad5a1f4f101ea9a8b4146319b8bed7f,f0404b06233ec2850647ebcb3d3a2f78,1313ebd01af3c1424b12ffe17c68ac73,0908ddda6c987740c32b15f700eee6d6,387e98fe23090f9ba220c5cdd0b315b8,c5140e9a612b57666f1e0253e9f85186,5f5cec1926e370cbef18756ed5aa2fb0,c7dfd5f0d2a11b03ec759f9070c016d6"
5182389,18265561,0,"26a42ed74a14093474f77c063c61ecdd,67142bd42002ddfb18dffe407c427efb,4e34d40defc8abb3e9a2364e97358e84,fb7251b347b982bc43eeab1c4fb760fd,66994d06e9195487bc4379bafd74f062,2c457f2f3db56a11a0677f27b8a42d21,1d29bf5831ad1c7518c21ef0f8a07753"
5182389,18265564,0,"bbcc1b2104113c9a2131db2607483549,dd285d2333b111f91d5ca2f033032f29,9e91e1434fcf32525396f914e58dfcf1,b8f6dbd3a9d15d0d256dd2e06277e980,c22c96d73ce7e1f802e3782caa8af3d2,a94bad601366b789af31fd7be2bc9da5"
5182389,18265567,0,"11f4b51b04c4e96b6bfcbdb8dc555f99,31f0fe87ff0cb7282099b4aac59b78fa,633efccf43454008ef64569deb5495d5,0d99b6dcca9595e0e50ead53cd4621b5,4befd9bcda1845195a9a2590d0ffe23d,e4c8a34ff3f66df64394222e0099b90c"
5182389,18265569,0,"77f766ea73e0a8559a5d2e5e1b0efb26,19915f482b6b379cb4d964e70d92dfb9,646cd090ab6ae0a468eb54ef3fff70f1,ecef7fd3c653800b6dce40bc4a6d93aa,41d9a03ff417b6bfd29c784f0f6e2e9b,dcb684c49f537e12f819882991545b7b,2d6d9ecc9f3411ff1659a04532c70c51"
5182389,18265574,0,"ed52af34d3ba7b9a6b2b0323c15ec4b7,b6107a2c0962335d5ef2371c9ca919e0,b83b1ac6390fcc1448f7b62888dc6b6d,bde2938b0eaa0248cab1007e926e2fe7,dc4ec6ec0c8d4d0aab4d244893f12238,5c7ce970181edecf5cf6e696fecce7ae,549138e5bd21971c4fb890bf41d80b15,9225647f52fc336f742d02bd6d54eb0c,f49abf765d5edd8095ebf729b935abc6"
5182389,18265577,0,"b9f963916c45c4419cfd318f07f628a8,7c4a401fcf84fd6ee506c4328cf06972,3a449dd88c6be03e8e7d320c2b3453ef,34873be41f6e6b295cfb8da4793aaf4d,1584838ed1740b241a2f32410204874d,6fed90229d5e84653ac8ccc555225225,5d15b0fdd7e3a126358a3a814a420832,c06136e90ab0305de0924f6cfc7b4003,95f50e4080e57c9473e2cd34726204b5"
5182389,18265581,0,"cafb60cb039ddda5489d938565d2dc93,f60d620a831d8d13c441a0dbe7d7f428,d1ae37bb0c89c35c64550166e4e18ec2,f10468596181cbc98feae1751c724349,5e887b6f3fcd2cb819b4e62347b2adb7,d36d9e52ed6de639b95f139c7eb1bd41,9d03dd565b9c848aac9f447e33b741b6,db2d99546113ccdaf1c812e0600ae1e8,bfd2d312ecb57e6351141bd7b760c821"
